GAME_ID,TEAM_ABBREVIATION,OPP_TEAM_ABBREVIATION,PLUS_MINUS,WL,GAME_DATE,P_W_PCT,PAST_WL,PAST_PTS,P_W-L,PAST_REB,PAST_AST,PAST_STL,PAST_BLK,PAST_TOV,PAST_PF,PAST_FG3_PCT,P_W_PCT_OPP,PAST_WL_OPP,PAST_PTS_OPP,P_W-L_OPP,PAST_REB_OPP,PAST_AST_OPP,PAST_STL_OPP,PAST_BLK_OPP,PAST_TOV_OPP,PAST_PF_OPP,PAST_FG3_PCT_OPP,TEAM_ELO,OPP_TEAM_ELO
0021900090,LAC,UTA,11,1,"NOV 03, 2019",0.667,0.6,114.6,2.0,41.4,22.2,7.6,4.4,16.0,25.0,0.36219999999999997,0.667,0.6,101.2,2.0,40.8,21.4,9.2,3.6,19.4,21.8,0.396,1519.203913042605,1516.7420198913849
0021900088,SAS,LAL,-7,0,"NOV 03, 2019",0.8,0.8,116.2,3.0,51.0,22.8,5.4,5.6,15.6,20.6,0.3424,0.8,0.8,111.2,3.0,45.0,23.6,9.0,7.8,14.0,21.4,0.3214,1527.7371904291613,1529.9680808132991
0021900091,WAS,DET,16,1,"NOV 04, 2019",0.2,0.2,117.2,-3.0,42.8,25.8,7.0,5.0,16.0,22.6,0.38120000000000004,0.429,0.4,107.8,-1.0,42.6,22.6,7.4,5.2,17.4,20.0,0.3866,1471.961098902919,1489.986072670907
0021900094,MIN,MIL,-28,0,"NOV 04, 2019",0.8,0.8,118.0,3.0,46.2,24.4,10.8,5.4,17.2,20.8,0.3258,0.667,0.6,119.6,2.0,50.2,25.2,7.0,5.2,13.8,21.8,0.35540000000000005,1528.8697882222457,1520.5351791122612
0021900092,BKN,NOP,10,1,"NOV 04, 2019",0.333,0.4,117.2,-2.0,51.2,24.0,7.0,4.6,19.2,22.4,0.39899999999999997,0.167,0.2,117.6,-4.0,44.8,29.6,8.4,4.2,15.4,23.6,0.3688,1479.724540120234,1462.6873307958049
0021900095,PHX,PHI,5,1,"NOV 04, 2019",0.667,0.6,113.4,2.0,44.0,27.8,8.4,2.6,16.4,28.4,0.37839999999999996,1.0,1.0,115.0,5.0,50.2,27.2,11.4,7.0,18.2,27.8,0.3168,1519.3729715642858,1548.881859651958
0021900093,MEM,HOU,-7,0,"NOV 04, 2019",0.2,0.2,106.6,-3.0,47.4,25.0,9.0,6.8,19.0,26.2,0.2904,0.5,0.6,123.4,0.0,41.4,24.4,8.4,4.8,16.0,23.0,0.2968,1471.98395477005,1498.3822601728996
0021900096,GSW,POR,9,1,"NOV 04, 2019",0.167,0.2,106.6,-4.0,44.4,25.2,7.6,3.4,15.8,20.6,0.3246,0.5,0.6,116.6,0.0,44.4,19.0,6.8,5.8,15.4,26.2,0.4248,1461.694322475732,1501.0863370130128
0021900102,DEN,MIA,20,1,"NOV 05, 2019",0.667,0.6,102.6,2.0,45.0,20.6,6.8,4.8,12.2,21.2,0.2942,0.833,0.8,117.4,4.0,46.2,28.8,10.2,6.8,18.2,22.8,0.4034,1515.9249069050472,1538.8164539990878
0021900100,CHI,LAL,-6,0,"NOV 05, 2019",0.286,0.2,100.0,-3.0,39.8,23.6,7.0,3.0,13.0,21.4,0.31660000000000005,0.833,1.0,111.4,4.0,46.0,23.8,9.8,8.4,14.8,21.0,0.2926,1470.6391194619987,1539.9038715089528
0021900098,CLE,BOS,-6,0,"NOV 05, 2019",0.333,0.4,109.0,-2.0,45.0,22.2,6.4,4.4,14.2,19.6,0.3598,0.8,0.8,108.6,3.0,46.4,21.8,7.8,5.4,10.8,22.2,0.3432,1479.7370118592107,1528.5949987437637
0021900097,CHA,IND,2,1,"NOV 05, 2019",0.5,0.4,101.4,0.0,43.8,23.4,6.4,3.2,17.2,20.8,0.34619999999999995,0.5,0.6,104.2,0.0,45.8,24.0,8.2,5.8,12.4,23.4,0.31179999999999997,1499.4889975171573,1501.0622510336052
